id;code;date;name;description;type;parent;balance;lmu;lmd;hasbatches;accountvalue;accountlevel;accountsnumberingsystem;subparentid;canedit;amount;creditamount;debitamount;debitorcredit;reporttype
1;inquisitively sneak common;2024-10-03T07:31:46;than;candid;20434;15839;20187.4;3616;2024-10-02T09:37:15;false;32553.63;27529;23513;25509;true;32419.05;6971.21;25312.01;swivel fortunately;25872
2;fly;2024-10-02T21:55:44;ironclad somebody although;meanwhile careless provided;28710;6180;6601.8;15082;2024-10-03T04:17:36;false;9489.98;7307;32453;11323;true;9739.09;31270.95;19391.99;fooey rumble whether;6185
3;remunerate with;2024-10-02T19:29:16;roughly phony front;generously;5387;11926;13238.09;27190;2024-10-03T04:01:16;true;27960.71;7480;16879;20588;true;6277.03;19108.03;27771.93;limited;7975
4;carefully;2024-10-03T00:29:57;save;without;10214;12844;15510.75;28516;2024-10-02T15:18:18;false;6396.36;2684;21528;2289;false;1156.84;4470.95;15105.08;yowza save;8983
5;aha;2024-10-02T23:33:03;instantly oof unimpressively;curdle to;4956;7358;3376.63;32390;2024-10-03T06:20:36;true;2432.47;26;12956;14415;true;281.31;9451.04;6578.5;yuck;1557
6;into thankfully;2024-10-02T11:23:11;hmph;plus;29283;28084;16821.98;24671;2024-10-03T05:55:18;true;14720.51;14810;23954;19348;true;22896.63;27977.98;20100.81;craw monthly;10554
7;geez;2024-10-02T15:39:59;plight absent;nibble notwithstanding orangutan;30805;27687;1700.16;8284;2024-10-02T10:36:45;true;19987.33;9623;16539;17429;true;12752.74;18363.03;11857.45;mmm employ reassuringly;14120
8;an frost outside;2024-10-02T18:58:48;anenst;parchment;28096;3527;25659.25;11532;2024-10-02T14:28:21;true;30558.33;9793;24988;24820;true;430.72;19052.14;2050.97;after;23899
9;forenenst staid;2024-10-02T14:35:12;pro how;softly why;8572;10180;32035.56;7794;2024-10-02T11:56:19;true;30857.66;6301;27877;11034;false;31252.48;17344.91;30194.08;knobby;16846
10;cheerful athwart dickey;2024-10-02T19:18:01;deliberately before nationalize;bag;15796;26091;3994.88;9292;2024-10-02T09:52:30;true;21866.29;19035;28426;15596;false;3060.87;15028.69;22107.92;cooperative;27419
