id;code;name;description;lmu;lmd;displayorder
1;sheepishly paralyse frenetically;ugh;solidly lazy prickly;17;2024-08-26T04:48:29;2310
2;villainous furthermore;gladly look;minus;1911;2024-08-25T16:23:38;11083
3;provided feisty;pfft;utterly vessel distribute;13289;2024-08-25T18:23:33;7979
4;toward intrepid;doorstep;urgently;28850;2024-08-25T06:53:32;19488
5;but;former;tighten duh;5583;2024-08-25T13:27:45;15844
6;sternly;separately even;however aching;25839;2024-08-25T09:27:27;2041
7;toward vastly via;what instead;lest supposing;30999;2024-08-25T16:46:24;13453
8;within;until inasmuch mechanically;gracefully phooey phew;31649;2024-08-25T11:53:37;650
9;while member;whether;crooked;30447;2024-08-26T04:30:56;9491
10;sympathetically austere sponsor;unbearably rehospitalisation superficial;yawningly sharply though;27224;2024-08-25T17:59:50;21306
