id;bankcode;branchcode;branchname
1;functional;past since;interestingly besides unnecessarily
2;hash once absent;if sedately fooey;crafty overlook font
3;taper acrylic snooze;viewing unimpressively;pace eyestrain clobber
4;civilization rappel modulo;uh-huh given;junker opposite towards
5;next rude;aside;train
6;apropos;riddle over;meh duh
7;gregarious blissfully ugh;yum dimly greatly;wherever
8;worthless ew;receipt cautiously;gliding pace boo
9;pro consulate;tuition slash shot;gingerbread
10;whoever finally;tan successfully;anti
