id;servicename;servicediscription;isactive;lmd;lmu;orderby;billtocustomer
1;company;less;true;2024-10-03T21:58:56;12560;1613;true
2;blah so;so;true;2024-10-04T05:56:03;19278;13100;true
3;unlined;via alarmed;false;2024-10-03T10:50:01;15734;5633;false
4;ew as ew;apology god;true;2024-10-04T00:55:27;32615;11672;false
5;dresser musty;bad sticker times;true;2024-10-03T13:13:02;2147;8211;true
6;square while;corruption fingernail;true;2024-10-04T05:08:53;20510;27136;true
7;reassuringly brr woefully;levitate;true;2024-10-04T08:33:55;27855;31298;false
8;than supposing;justly boo;true;2024-10-04T02:32:12;27173;12511;true
9;whether;pish obedient gadzooks;false;2024-10-03T16:04:55;2705;14718;false
10;juicy;continually;true;2024-10-03T16:33:34;17235;19682;false
