id;vehicletypeid;billingserviceoptionid;value;lmd;lmu
1;13407;19577;19374.96;2024-10-04T05:32:28;31340
2;18246;18179;27364.74;2024-10-04T06:49:45;14162
3;23673;18220;14246.4;2024-10-04T00:29:54;30691
4;10689;19783;28835.29;2024-10-04T09:20:49;2933
5;828;8923;25328.64;2024-10-03T22:49:34;19108
6;31037;27163;31183.29;2024-10-04T00:39:37;16417
7;30531;2896;20930.99;2024-10-03T11:27:18;13794
8;31081;11598;32108.09;2024-10-03T09:59:02;3665
9;15271;17429;6611.35;2024-10-03T22:43:33;14145
10;23428;16552;29847.79;2024-10-03T12:35:33;856
