id;mainid;code;name;description;value;isactive;lmd;lmu
1;2928;finally following impeccable;scientist;aha journalist;18769.4;true;2024-10-03T13:24:01;23424
2;18125;exhausted fracture;hotfoot;which scandalise;22691.55;false;2024-10-03T20:31:43;13153
3;31118;but enchanting;kaleidoscopic drat linseed;hm yarmulke;24263.61;true;2024-10-03T10:44:09;15685
4;5382;masculine splendid;at thankful dependable;metabolite psst task;7566.26;true;2024-10-04T09:50:01;16878
5;23217;aha;oh irritably wherever;oof whose;12533.27;true;2024-10-03T17:28:53;16237
6;31927;whereas unto;interestingly toward oh;modest readily phew;21319.43;true;2024-10-04T02:07:55;16341
7;32000;against kookily;pfft scented;imaginative;3648.29;false;2024-10-03T15:21:56;22200
8;2538;clarify;serene shift beyond;right;8118.57;false;2024-10-04T00:24:27;24777
9;21275;embellish;huzzah inside almost;okra however given;5668.06;false;2024-10-03T14:53:38;30034
10;15850;gah although unto;generously excluding geez;although ack;2298.63;true;2024-10-03T16:31:18;30316
