id;companyid;accountnumber;accountname;bankname;bankid;branchname;branchid;amount;accountcode;accountid;lmd;lmu;isactive;accounttypeid
1;3680;lest;provided earthquake;how except id;28029;though for because;6747;2682.28;cyst camouflage;6076;2024-10-02T22:02:17;ick whoa documentation;true;30228
2;31737;produce whose;excluding;instead meh;16263;on;4254;17779.75;until;11995;2024-10-02T22:16:23;mellow pro;true;1301
3;24067;superficial;get snake whereas;duh closely;2192;nearly natural speedily;4257;15226.35;defensive daring;21909;2024-10-02T14:06:22;as too;false;16612
4;29809;hourly unsung authenticate;host on out;enthusiastically pathology enthusiastically;9995;pry;11519;9815.41;unwelcome springboard;18297;2024-10-02T15:53:09;if;true;18636
5;16908;convenience comfortable amongst;boo whoa for;consequently;22774;bet mortified;29730;23497.88;residence;12107;2024-10-03T11:05:15;behind;true;20782
6;9309;continuity deviate;wherever inspection garter;regarding meh;28131;longingly effect zigzag;7890;8140.68;after;22611;2024-10-03T06:39:05;scallop;false;25598
7;24919;commercial since freely;telex hmph certainly;plastic;26529;bah butane;23947;30451.12;inspire;25384;2024-10-02T20:07:57;although;false;5539
8;14066;planning an;psst gender despite;quickly shadowbox tambourine;25342;dining temptress;2974;1498.38;ah but well;17960;2024-10-03T06:38:44;how;false;11040
9;31060;till;revel kiddingly;appertain geez upset;7266;underperform if;32487;16965.08;kindly spectacular masquerade;26051;2024-10-03T01:28:38;which dreamily;false;6704
10;4303;scripture culture broadcast;consecrate beneath;kielbasa;32538;forceful;18705;29346.3;forenenst eek yahoo;20492;2024-10-03T01:30:57;boohoo cue;true;2065
