id;vehcatid;autojobcatid;firstcom;secondcom;thirdcom;lmd;lmu
1;2958;17428;31671.89;28313.39;17583.32;2024-10-02T17:56:22;2027
2;4536;25952;4316.77;3137.07;32372.39;2024-10-02T22:21:53;29816
3;17447;13180;3309.93;6236.8;2237.88;2024-10-02T15:18:08;24743
4;10834;31696;20874.72;22200.43;5194.51;2024-10-02T10:52:55;31642
5;11412;16458;4850.07;5166.03;15932.3;2024-10-02T20:01:38;31709
6;1469;6399;4127.32;16831.25;25840.17;2024-10-03T05:43:09;16142
7;14623;25838;26312.88;13556.72;22874.69;2024-10-03T05:09:33;23516
8;30945;2568;14439.88;32031.99;15582.71;2024-10-02T18:55:34;22800
9;4670;3718;7632.85;6085.84;10436.62;2024-10-03T02:21:09;24167
10;31315;3173;17436.35;7996.17;31025.39;2024-10-02T21:10:25;14424
