id;code;partnumber;name;description;type;classification_1;classification_2;classification_3;classification_4;classification_5;unitofmeasurement;decimalplaces;isassemblyunit;assemblyunitof;reorderlevel;lastcost;lastsellingprice;lmu;lmd;availablequantity;hasbatches;itemspecfilepath;itemimagepath;returnprice;activeitem;minstock;maxstock;dailyaverage;bufferlevel;leadtime;buffertime;saftydays;accountcode;accountid;casepackqty;isregistered;defaultstocklocationid;rackno;barcodeimage;barcodeimage_content_type;commissionempid;checktypeid;checktype;reorderqty;notininvoice
1;gadzooks;optimistically;anxiously synergy extremely;unwilling;2509;although calibrate inside;violently;forsaken reproachfully chalk;forenenst;abaft;till;18431;true;12786;23579.51;19226.54;8254.05;1890;2024-08-19T19:05:25;24797.54;false;drat;whether hmph;20449.57;false;3379.92;22390;15064.47;3962.47;3679.47;6162.14;15986.76;what degenerate;6952;29373;true;31835;phooey for;../fake-data/blob/hipster.png;image/png;29690;12694;hm ouch;5399.25;true
2;consequently;terribly sherbet acclimate;bequeath defiantly;verifiable icon hippopotamus;3993;given anarchist whose;quickly prostrate;atop;lest;whose;gosh seemingly;23500;true;24821;6720.78;4820.52;17166.93;11203;2024-08-19T17:21:52;17218.49;false;expatiate;bandolier analytics;14117.47;false;9901.35;18469.6;12243.08;28924.91;29790.42;17795.34;12917.76;calm;23421;22396;false;17875;whose media;../fake-data/blob/hipster.png;image/png;9575;6348;zoo;28929.18;false
3;size;coarse;slim since;bull-fighter;23173;blood frugal niece;instead functional glass;harsh aha;special or restrict;trusting until psst;finally nougat war;16254;true;15603;6950.82;1627.08;19371.07;19013;2024-08-19T13:46:56;24594.13;false;geez phooey;why but;10293.52;false;19146.87;5167.52;26835.7;29790.64;23492.65;2195.22;8976.31;for horse;7067;29387;false;23021;um;../fake-data/blob/hipster.png;image/png;12920;3542;telescreen;13706.6;true
4;adjustment;athwart;seethe neat;pish beyond;23929;after hinder cable;hence;near cruel flippant;kiddingly over beneath;slushy;across educated beneath;16655;true;17235;25928.5;5437.01;31333.5;10472;2024-08-19T19:57:02;18163.8;false;owlishly;regarding;19666.93;true;27966.23;18226.72;2815.02;24137.02;4428.9;25858.59;23046.17;through sadly when;14704;7850;true;10153;pronounce well-worn labor;../fake-data/blob/hipster.png;image/png;25193;18092;daintily beach sympathetic;6866.76;false
5;without;worth;guy huzzah;joyously;28061;zowie ornery;shortwave though;mortally handsome;until why gang;enthusiastically cyclone ignorant;though hastily flat;19208;true;11279;18936.56;29628.34;6156.89;22623;2024-08-20T04:18:20;25060.34;false;greatly;uh-huh inquisitively until;21051.19;true;15294.27;22504.36;6364.2;16108.28;2580.35;31313.02;16706.36;shabby consequently pfft;17266;6366;true;23702;masculinize consume useless;../fake-data/blob/hipster.png;image/png;5772;8501;squatter;9344.53;true
6;centre whoever;continually;harpsichord;bunkhouse tremendously tractor;4051;zowie prescribe;strum twin;boo imprisonment;meanwhile untidy;power yet;blah;12628;true;4855;15077.36;28606.43;26336.9;32622;2024-08-19T17:11:53;6615.22;true;align;yippee devoted fluid;15978.19;false;11029.47;29137.68;3147.96;13312.22;20978.44;6457.66;18953.69;till;20416;6780;true;7134;for waterfront;../fake-data/blob/hipster.png;image/png;23871;3784;petty apropos;30517.49;false
7;indeed;pfft finally;eventually yuck outside;generous calmly;14179;embassy after furthermore;ugh dapper youthfully;substitute;standoff brr;provided harmonious horse;mostly;17139;true;6489;17901.79;10730.56;23641.12;23758;2024-08-20T10:06:15;22612.01;false;arctic society whereas;whoever;28536.83;false;3350.2;15509.6;10052.12;26181.27;31422.38;18124.33;8746.26;ew phew hence;8629;7800;true;11312;but show-stopper yippee;../fake-data/blob/hipster.png;image/png;4498;12284;likely spanish;20331.62;true
8;brave;aw;aside seriously;or as;24487;drafty;despite athwart quickly;um several;blah ouch silently;why;straight inasmuch;7569;false;18787;15416.07;5626.16;8622.61;24026;2024-08-20T00:51:12;3546.13;false;honored twin ha;when complex conventional;676.86;false;22011.96;21696.77;28615.39;13368.87;14779.7;10276.4;23338.09;psst;29427;27921;true;30229;gee aboard even;../fake-data/blob/hipster.png;image/png;22159;18624;intersect;9058.74;true
9;bland;humanity thaw;ruddy version whereas;but off;31264;vase nor until;figure near after;worth reproachfully;throughout cursor advanced;sanitize;rivulet jubilantly;6453;false;11105;29459.24;3006.69;24761.75;17854;2024-08-19T23:08:44;23671;false;boo boomerang instead;gosh scholarly spin;2426.76;false;30290.59;2095.3;20013.97;32547.05;23943.71;752.36;13225.98;caribou;18286;22728;false;2223;regarding and;../fake-data/blob/hipster.png;image/png;15069;5727;likewise;15204.98;true
10;radiant appear;why abnormally;forearm up;brr wary;19155;um oh;instead goldbrick yum;left virtuous;joyfully apud shack;jovial;into;1728;true;27521;15191.13;4891.69;1044.78;5108;2024-08-19T12:00:09;13908.23;false;now;decrease disappoint;25516.96;true;882.1;3179.86;23305.3;18366.37;13374.12;26295.65;4126.4;scrape;6364;13384;false;15188;quietly;../fake-data/blob/hipster.png;image/png;29434;29609;and;22893.62;false
