id;itemid;code;txdate;cost;price;costwithoutvat;pricewithoutvat;notes;lmu;lmd;lineid;manufacturedate;expiredate;quantity;addeddate;costtotal;returnprice
1;21305;meaty via hence;2024-08-22T08:41:45;15348.31;17604.87;7386.49;9785.24;staid unlined;16130;2024-08-22T23:40:56;29144;2024-08-22T09:24:57;2024-08-22T13:38:48;20697.84;2024-08-22T20:16:01;19584.3;17671.4
2;32019;brr every;2024-08-23T02:16:02;8258.93;7727.77;27349.22;6867.53;gleefully id;22252;2024-08-22T13:43:04;27193;2024-08-22T10:58:58;2024-08-23T03:04:52;4524.76;2024-08-22T07:59:17;12618.81;23321.42
3;30226;heavily;2024-08-22T18:25:20;25255.09;22094.73;2725.19;27858.49;unsung till above;29572;2024-08-23T02:27:27;32596;2024-08-23T07:34:46;2024-08-22T14:05:55;20055.24;2024-08-22T17:17:30;1541.83;32012.28
4;6187;though than;2024-08-22T18:33:46;26411.48;4192.46;17359.75;24859.89;to;8889;2024-08-22T16:03:06;3682;2024-08-22T17:16:05;2024-08-22T21:19:07;21588.58;2024-08-23T03:45:25;449.59;27
5;19814;whether beside crowded;2024-08-23T00:16:12;28980.95;30325.21;10317.54;31172.22;spring times;3288;2024-08-22T23:02:10;9471;2024-08-23T00:18:10;2024-08-23T03:15:47;21657.7;2024-08-22T14:17:01;25976.5;11721.95
6;18804;naturally artistic;2024-08-22T15:58:07;4498.61;8865.38;19760.43;18265.58;ah;16922;2024-08-22T11:32:41;22254;2024-08-22T12:47:28;2024-08-22T09:13:40;23269.85;2024-08-23T00:27:36;11867.57;17377.17
7;2816;qua;2024-08-22T08:23:06;13449.66;9013.51;15292.95;3107.61;gleaming;31017;2024-08-23T05:47:28;15615;2024-08-22T09:22:57;2024-08-22T13:05:15;22740.51;2024-08-22T20:48:35;6932.2;16263.57
8;1069;overwhelm;2024-08-22T08:15:10;17453.18;2191.44;25115.66;24996.59;almost untried;32014;2024-08-23T05:00:26;13057;2024-08-22T18:22:59;2024-08-22T20:29:22;8695.74;2024-08-22T10:12:26;22460.12;5100.11
9;11638;silver grouper;2024-08-23T04:29:44;7311.15;28466.34;32592.88;19954.43;procedure hurl spurn;20217;2024-08-23T05:19:39;30860;2024-08-22T20:49:46;2024-08-22T15:45:30;12568.43;2024-08-23T03:38:41;10786.93;7151.05
10;3435;along figure mod;2024-08-22T08:48:21;27633.08;25883.38;24865.46;5619.69;service midst;23031;2024-08-23T04:04:38;14840;2024-08-23T06:46:44;2024-08-23T04:26:48;6900.26;2024-08-22T08:27:54;16956.32;9561.86
