id;itemid;code;name;locationid;locationcode;availablequantity;hasbatches;lmu;lmd
1;29998;premium;scarily otter whoa;5839;gunpowder;9536.42;true;29018;2024-10-04T03:15:52
2;15968;via;aromatic furthermore;9075;into backlight;18849.07;false;14280;2024-10-03T12:12:37
3;11073;shift;yum bulge astonishing;29068;up;5925.86;true;1127;2024-10-03T16:36:18
4;24611;cooked sadly ensure;anyone yippee psst;28016;rubbery fiercely bossy;13915.05;true;31752;2024-10-03T14:31:51
5;12677;so boo as;as;8092;around meh oof;25204.83;true;13827;2024-10-03T10:46:25
6;15541;early ah oof;wherever once lest;9113;legislation except;24957.6;true;7569;2024-10-03T20:13:54
7;9183;vacantly oh claim;modulo blow expound;701;amidst gosh;28827.84;true;26810;2024-10-03T14:52:18
8;27996;unless;jealously sabre;23196;aha;22570.27;false;32124;2024-10-03T20:27:02
9;17207;diligently;huzzah aha yuck;11606;coat geez;15952.28;false;19205;2024-10-03T10:17:37
10;13267;wiring alphabetize yahoo;bah triumph easily;2048;boyfriend slight;17445.41;true;15060;2024-10-03T21:03:25
