id;name;description;lmu;lmd;showsecurity;sortorder;isactive
1;unpack;whenever;15581;2024-08-19T08:09:17;false;22892;false
2;mean formal;and;12988;2024-08-20T00:05:42;false;7068;false
3;fooey burglar swiftly;furiously bleakly uh-huh;5759;2024-08-20T05:25:35;false;13591;true
4;loyally;spoil;25258;2024-08-20T05:05:06;false;28168;false
5;surgery;since foolish;10479;2024-08-19T22:21:39;true;19084;false
6;incredible midst greatly;larch fully;14409;2024-08-20T02:47:22;true;21348;false
7;dishonest vase resonate;hence;16881;2024-08-19T19:26:55;true;14402;false
8;wherever shrill stupendous;infect;21985;2024-08-19T13:26:30;true;23476;false
9;furthermore;phew upon;25468;2024-08-19T14:50:37;true;27015;false
10;alfalfa including;uh-huh;13879;2024-08-19T07:17:29;true;24632;true
