id;name;description;mainid;mainname;lmu;lmd;isactive
1;frank how;too prudent counter-force;14857;yowza;23632;2024-08-20T05:09:29;false
2;actual;past smug;3458;massage;17230;2024-08-20T07:08:36;true
3;upright;during prosperity caution;4651;intentional handy weird;32201;2024-08-20T20:54:23;false
4;usable;identical fiercely or;24047;astride verbalise ray;27997;2024-08-20T14:48:49;false
5;gosh;incidentally;11065;but deceivingly ornate;9059;2024-08-20T04:50:22;false
6;messy;out apud;18570;consequently;24990;2024-08-20T06:53:55;true
7;yahoo;upon consequently;3187;that ignorant that;15334;2024-08-20T20:18:27;true
8;below;yippee;15454;what slaw localise;18313;2024-08-20T11:03:00;false
9;ugh;drill;6486;until;9557;2024-08-20T17:22:08;false
10;oof;sarcastic near;24398;given gosh;22557;2024-08-21T01:52:23;true
