id;locationname;locationcode;description
1;oh hmph;happily;worship woot novel
2;offbeat;decent homely vice;unlike pish
3;offer;demonise upright ew;ouch
4;pish spider;that infantile mmm;skeletal forenenst
5;spatter shatter knuckle;untried;yuck without conflict
6;throughout;yieldingly king;cephalopod because who
7;mysteriously scaly;after;about modest unwieldy
8;courteous pompom whoa;whoever truck;same equatorial minus
9;square interferometer;hmph whoever abaft;biosphere
10;suspiciously;samurai subsist;lively after
