id;code;description;effectivefrom;effectiveto;percentage;fixedamount;ismanual;isactive;lmu;lmd
1;fooey;expose aside easily;2024-10-02;2024-10-03;19657.98;3004.06;true;true;17110;2024-10-02T08:23:02
2;yet absent ultimately;till;2024-10-02;2024-10-03;8280.74;32091.93;false;true;2779;2024-10-02T07:48:20
3;phooey lark blah;wetly posh gah;2024-10-02;2024-10-02;29664.13;11942.31;true;true;14078;2024-10-02T22:01:55
4;ack abbreviation beyond;speedily gee vacuum;2024-10-02;2024-10-03;10257.19;28692.12;true;false;5043;2024-10-02T21:46:13
5;graceful simple near;willfully culture relish;2024-10-03;2024-10-02;31327.06;6331.61;false;false;9287;2024-10-03T04:47:49
6;hmph;patiently age sandal;2024-10-02;2024-10-03;18040.33;11461.34;true;false;7462;2024-10-03T02:34:14
7;yahoo whenever whether;broken;2024-10-03;2024-10-02;15890.81;10288.72;true;false;28925;2024-10-03T01:13:37
8;cover;fooey freely folk;2024-10-02;2024-10-03;23641.28;3044.66;true;false;23293;2024-10-03T01:11:01
9;philosophise;inasmuch spirited;2024-10-02;2024-10-02;17504.83;3985.39;false;true;8504;2024-10-03T07:25:57
10;pillage mechanically;practical;2024-10-02;2024-10-02;26593.19;28385.22;false;false;26673;2024-10-02T11:12:03
