id;brandid;brandname;model;lmu;lmd
1;27177;oof indeed via;however fairly;198;2024-08-23T04:25:11
2;23591;frosting parallel impoverish;courthouse um zesty;28768;2024-08-23T04:32:44
3;6339;oof;oof conservation;20606;2024-08-23T06:08:02
4;18556;gosh;very;7580;2024-08-23T09:11:07
5;3854;incarnate up;chop wherever towards;18829;2024-08-22T14:19:23
6;14614;too lest micronutrient;lovable;21619;2024-08-22T17:32:40
7;3311;through;incision daily phew;22061;2024-08-22T21:12:24
8;13791;minus sizzling though;nor smile drain;22692;2024-08-22T13:05:08
9;26916;propose abaft similar;overgeneralize;7448;2024-08-23T00:06:53
10;11860;till whoa wing;knowledgeably;32549;2024-08-23T01:06:40
