id;brandname;description;lmu;lmd;companyid
1;from sometimes when;unless successfully industrialisation;27530;2024-08-23T08:29:02;30973
2;rudely installation overgeneralize;gah;28949;2024-08-22T22:33:08;24114
3;hmph gorgeous;hm gosh champion;23692;2024-08-22T13:59:27;4430
4;now card towards;employment ample champagne;27985;2024-08-22T16:26:04;8079
5;boldly scientist;sentimental oof;3333;2024-08-22T19:31:00;6456
6;so inside;gadzooks;13603;2024-08-22T17:15:14;13411
7;opposite uh-huh frequent;shortlist;26224;2024-08-23T04:02:07;21857
8;temple modulo notable;unless sheepishly;6672;2024-08-23T05:08:20;24978
9;beside valiantly score;humiliating qua;11784;2024-08-22T16:29:14;23973
10;cautiously jaggedly aged;partially;25916;2024-08-22T12:47:39;8250
