id;vehiclecategory;vehiclecategorydiscription;lmu;lmd
1;what;considerate allegation;22552;2024-08-19T08:07:38
2;initial;unlike;31856;2024-08-19T09:37:01
3;in along;what so;29375;2024-08-19T22:44:10
4;phooey carelessly;zowie given;26664;2024-08-19T21:05:55
5;yahoo;barren kind;11477;2024-08-19T13:22:01
6;condemn;whereas phew;27753;2024-08-19T20:05:24
7;however wherever pish;hmph;11786;2024-08-20T04:44:21
8;see incidentally;yet dish hm;5371;2024-08-20T02:46:37
9;reward helpful;for if furthermore;10863;2024-08-20T06:02:09
10;flutter;upset pronounce;19076;2024-08-19T11:19:21
