id;vehicletype;vehicletypediscription;lmu;lmd;catid;catname
1;brr flaky;stick conflict keen;2087;2024-08-19T23:14:14;23075;thrifty difficulty
2;sardonic nab generally;but;4076;2024-08-20T05:16:06;15488;similarity who
3;candy hmph;above sniveling over;30206;2024-08-20T06:04:59;20849;eyeball
4;invert concerning;atop toothpick madly;27665;2024-08-20T02:03:12;8401;well-groomed
5;cloudy passenger suit;yuck next cuisine;21544;2024-08-19T21:44:13;16025;eventually damage about
6;oof;ephemeris;24613;2024-08-20T06:04:08;6179;excluding misuse modulo
7;luxurious plod hence;than murky;28290;2024-08-19T20:59:23;5057;oof concentrate
8;loudly gah petition;nail whoever;9700;2024-08-19T12:19:32;25640;usefully
9;reasonable elicit yum;tar indelible;1582;2024-08-20T02:54:00;10010;dampen within blah
10;interfere statin pasteurise;transmit amongst;78;2024-08-20T06:07:25;18221;lest alongside
